year_,state_,state_po,candidate,party_detailed,candidate_vote
1988,MICHIGAN,MI,GEORGE H.W. BUSH,REPUBLICAN,1965486
1988,MICHIGAN,MI,MICHAEL DUKAKIS,DEMOCRAT,1675783
1988,MICHIGAN,MI,RONALD RON PAUL,LIBERTARIAN,18336
1988,MICHIGAN,MI,,,7600
1988,MICHIGAN,MI,EDWARD WINN,WORKERS LEAGUE,1958
1988,MINNESOTA,MN,MICHAEL DUKAKIS,DEMOCRAT,1109471
1988,MINNESOTA,MN,GEORGE H.W. BUSH,REPUBLICAN,962337
1988,MINNESOTA,MN,EUGENE GENE MCCARTHY,PROGRESSIVE,5403
1988,MINNESOTA,MN,RONALD RON PAUL,LIBERTARIAN,5109
1988,MINNESOTA,MN,,,3614
1988,MINNESOTA,MN,JAMES MAC WARREN,SOCIALIST WORKERS,2155
1988,MINNESOTA,MN,JACK HERER,GRASSROOTS,1949
1988,MINNESOTA,MN,LENORA FULANI,NEW ALLIANCE,1734
1988,MINNESOTA,MN,LYNDON LAROUCHE JR.,NATIONAL ECONOMIC RECOVERY,1702
1988,MINNESOTA,MN,DAVID DUKE,POPULIST,1529
1988,MINNESOTA,MN,DELMAR DENNIS,AMERICAN,1298
1988,MINNESOTA,MN,EDWARD WINN,WORKERS LEAGUE,489
1988,MISSISSIPPI,MS,GEORGE H.W. BUSH,REPUBLICAN,557890
1988,MISSISSIPPI,MS,MICHAEL DUKAKIS,DEMOCRAT,363921
1988,MISSISSIPPI,MS,,INDEPENDENT,6387
1988,MISSISSIPPI,MS,RONALD RON PAUL,LIBERTARIAN,3329
1988,MISSOURI,MO,GEORGE H.W. BUSH,REPUBLICAN,1084953
1988,MISSOURI,MO,MICHAEL DUKAKIS,DEMOCRAT,1001619
1988,MISSOURI,MO,LENORA FULANI,NEW ALLIANCE,6656
1988,MONTANA,MT,GEORGE H.W. BUSH,REPUBLICAN,190412
1988,MONTANA,MT,MICHAEL DUKAKIS,DEMOCRAT,168936
1988,MONTANA,MT,RONALD RON PAUL,LIBERTARIAN,5047
1988,MONTANA,MT,LENORA FULANI,NEW ALLIANCE,1279
1988,NEBRASKA,NE,GEORGE H.W. BUSH,REPUBLICAN,397956
1988,NEBRASKA,NE,MICHAEL DUKAKIS,DEMOCRAT,259235
1988,NEBRASKA,NE,RONALD RON PAUL,LIBERTARIAN,2534
1988,NEBRASKA,NE,LENORA FULANI,NEW ALLIANCE,1740
1988,NEVADA,NV,GEORGE H.W. BUSH,REPUBLICAN,206040
1988,NEVADA,NV,MICHAEL DUKAKIS,DEMOCRAT,132738
1988,NEVADA,NV,RONALD RON PAUL,LIBERTARIAN,3520
1988,NEVADA,NV,LENORA FULANI,NEW ALLIANCE,835
1988,NEW HAMPSHIRE,NH,GEORGE H.W. BUSH,REPUBLICAN,281537
1988,NEW HAMPSHIRE,NH,MICHAEL DUKAKIS,DEMOCRAT,163696
1988,NEW HAMPSHIRE,NH,RONALD RON PAUL,LIBERTARIAN,4502
1988,NEW HAMPSHIRE,NH,LENORA FULANI,NEW ALLIANCE,790
1988,NEW JERSEY,NJ,GEORGE H.W. BUSH,REPUBLICAN,1743192
1988,NEW JERSEY,NJ,MICHAEL DUKAKIS,DEMOCRAT,1320352
1988,NEW JERSEY,NJ,LEWIN HERBERG G.,PEACE & FREEDOM,9953
1988,NEW JERSEY,NJ,RONALD RON PAUL,LIBERTARIAN,8421
1988,NEW JERSEY,NJ,LENORA FULANI,NEW ALLIANCE,5139
1988,NEW JERSEY,NJ,EUGENE GENE MCCARTHY,CONSUMER,3454
1988,NEW JERSEY,NJ,WILLA KENOYER,SOCIALIST,2587
1988,NEW JERSEY,NJ,DAVID DUKE,POPULIST,2446
1988,NEW JERSEY,NJ,JAMES MAC WARREN,SOCIALIST WORKERS,2298
1988,NEW JERSEY,NJ,LARRY HOLMES,WORKERS WORLD,1020
1988,NEW JERSEY,NJ,EDWARD WINN,WORKERS LEAGUE,691
1988,NEW MEXICO,NM,GEORGE H.W. BUSH,REPUBLICAN,270341
1988,NEW MEXICO,NM,MICHAEL DUKAKIS,DEMOCRAT,244497
1988,NEW MEXICO,NM,RONALD RON PAUL,LIBERTARIAN,3368
1988,NEW MEXICO,NM,LENORA FULANI,NEW ALLIANCE,2237
1988,NEW MEXICO,NM,JAMES MAC WARREN,SOCIALIST WORKERS,344
1988,NEW MEXICO,NM,LARRY HOLMES,WORKERS WORLD,258
1988,NEW MEXICO,NM,EARL DODGE,PROHIBITION,249
1988,NEW MEXICO,NM,,WRITE-IN,93
1988,NEW YORK,NY,MICHAEL DUKAKIS,DEMOCRAT,3255487
1988,NEW YORK,NY,GEORGE H.W. BUSH,REPUBLICAN,2838414
1988,NEW YORK,NY,GEORGE H.W. BUSH,CONSERVATIVE,243457
1988,NEW YORK,NY,MICHAEL DUKAKIS,LIBERAL PARTY,92395
1988,NEW YORK,NY,WILLIAM A. MARRA,RIGHT-TO-LIFE,20497
1988,NEW YORK,NY,LENORA FULANI,NEW ALLIANCE,15845
1988,NEW YORK,NY,RONALD RON PAUL,LIBERTARIAN,12109
1988,NEW YORK,NY,LARRY HOLMES,WORKERS WORLD,4179
1988,NEW YORK,NY,JAMES MAC WARREN,SOCIALIST WORKERS,3287
1988,NEW YORK,NY,,,13
1988,NORTH CAROLINA,NC,GEORGE H.W. BUSH,REPUBLICAN,1237258
1988,NORTH CAROLINA,NC,MICHAEL DUKAKIS,DEMOCRAT,890167
1988,NORTH CAROLINA,NC,LENORA FULANI,NEW ALLIANCE,5682
1988,NORTH CAROLINA,NC,RONALD RON PAUL,,1263
1988,NORTH DAKOTA,ND,GEORGE H.W. BUSH,REPUBLICAN,166559
1988,NORTH DAKOTA,ND,MICHAEL DUKAKIS,DEMOCRAT,127739
1988,NORTH DAKOTA,ND,RONALD RON PAUL,LIBERTARIAN,1315
1988,NORTH DAKOTA,ND,LYNDON LAROUCHE JR.,NATIONAL ECONOMIC RECOVERY,905
1988,NORTH DAKOTA,ND,LENORA FULANI,NEW ALLIANCE,396
1988,NORTH DAKOTA,ND,JAMES MAC WARREN,SOCIALIST WORKERS,347
1988,OHIO,OH,GEORGE H.W. BUSH,REPUBLICAN,2416549
1988,OHIO,OH,MICHAEL DUKAKIS,DEMOCRAT,1939629
1988,OHIO,OH,LENORA FULANI,NEW ALLIANCE,12017
1988,OHIO,OH,RONALD RON PAUL,LIBERTARIAN,11926
1988,OHIO,OH,,INDEPENDENT,7713
1988,OHIO,OH,EDWARD WINN,WORKERS LEAGUE,5401
1988,OKLAHOMA,OK,GEORGE H.W. BUSH,REPUBLICAN,678367
1988,OKLAHOMA,OK,MICHAEL DUKAKIS,DEMOCRAT,483423
1988,OKLAHOMA,OK,RONALD RON PAUL,LIBERTARIAN,6261
1988,OKLAHOMA,OK,LENORA FULANI,NEW ALLIANCE,2985
1988,OREGON,OR,MICHAEL DUKAKIS,DEMOCRAT,616206
1988,OREGON,OR,GEORGE H.W. BUSH,REPUBLICAN,560126
1988,OREGON,OR,RONALD RON PAUL,LIBERTARIAN,14811
1988,OREGON,OR,LENORA FULANI,INDEPENDENT,6487
1988,OREGON,OR,,,4064
1988,PENNSYLVANIA,PA,GEORGE H.W. BUSH,REPUBLICAN,2300087
1988,PENNSYLVANIA,PA,MICHAEL DUKAKIS,DEMOCRAT,2194944
1988,PENNSYLVANIA,PA,EUGENE GENE MCCARTHY,CONSUMER,19158
1988,PENNSYLVANIA,PA,RONALD RON PAUL,LIBERTARIAN,12051
1988,PENNSYLVANIA,PA,LENORA FULANI,NEW ALLIANCE,4379
1988,PENNSYLVANIA,PA,DAVID DUKE,POPULIST,3444
1988,PENNSYLVANIA,PA,EDWARD WINN,WORKERS LEAGUE,2188
1988,RHODE ISLAND,RI,MICHAEL DUKAKIS,DEMOCRAT,225123
1988,RHODE ISLAND,RI,GEORGE H.W. BUSH,REPUBLICAN,177761
1988,RHODE ISLAND,RI,RONALD RON PAUL,LIBERTARIAN,825
1988,RHODE ISLAND,RI,LENORA FULANI,NEW ALLIANCE,280
1988,RHODE ISLAND,RI,LEWIN HERBERG G.,PEACE & FREEDOM,195
1988,RHODE ISLAND,RI,DAVID DUKE,POPULIST,159
1988,RHODE ISLAND,RI,JAMES MAC WARREN,SOCIALIST WORKERS,130
1988,RHODE ISLAND,RI,WILLA KENOYER,SOCIALIST,96
1988,RHODE ISLAND,RI,,,53
1988,SOUTH CAROLINA,SC,GEORGE H.W. BUSH,REPUBLICAN,606443
1988,SOUTH CAROLINA,SC,MICHAEL DUKAKIS,DEMOCRAT,370554
1988,SOUTH CAROLINA,SC,RONALD RON PAUL,LIBERTARIAN,4935
1988,SOUTH CAROLINA,SC,LENORA FULANI,UNITED CITIZENS,4077
1988,SOUTH DAKOTA,SD,GEORGE H.W. BUSH,REPUBLICAN,165415
1988,SOUTH DAKOTA,SD,MICHAEL DUKAKIS,DEMOCRAT,145560
1988,SOUTH DAKOTA,SD,,INDEPENDENT,2016
1988,TENNESSEE,TN,GEORGE H.W. BUSH,REPUBLICAN,947233
1988,TENNESSEE,TN,MICHAEL DUKAKIS,DEMOCRAT,679794
1988,TENNESSEE,TN,,INDEPENDENT,8938
1988,TENNESSEE,TN,,,285
1988,TEXAS,TX,GEORGE H.W. BUSH,REPUBLICAN,3036829
1988,TEXAS,TX,MICHAEL DUKAKIS,DEMOCRAT,2352748
1988,TEXAS,TX,RONALD RON PAUL,LIBERTARIAN,30355
1988,TEXAS,TX,LENORA FULANI,NEW ALLIANCE,7208
1988,TEXAS,TX,,,270
1988,UTAH,UT,GEORGE H.W. BUSH,REPUBLICAN,428442
1988,UTAH,UT,MICHAEL DUKAKIS,DEMOCRAT,207343
1988,UTAH,UT,RONALD RON PAUL,LIBERTARIAN,7473
1988,UTAH,UT,DELMAR DENNIS,AMERICAN,2158
1988,UTAH,UT,LENORA FULANI,NEW ALLIANCE,455
1988,UTAH,UT,LYNDON LAROUCHE JR.,NATIONAL ECONOMIC RECOVERY,427
1988,UTAH,UT,LOUIE G. YOUNGKEIT,INDEPENDENT,372
1988,UTAH,UT,JAMES MAC WARREN,SOCIALIST WORKERS,209
1988,UTAH,UT,WILLA KENOYER,SOCIALIST,129
1988,VERMONT,VT,GEORGE H.W. BUSH,REPUBLICAN,124331
1988,VERMONT,VT,MICHAEL DUKAKIS,DEMOCRAT,115775
1988,VERMONT,VT,SCATTERING,,1134
1988,VERMONT,VT,RONALD RON PAUL,LIBERTARIAN,1000
1988,VERMONT,VT,LYNDON LAROUCHE JR.,INDEPENDENT,275
1988,VERMONT,VT,LENORA FULANI,NEW ALLIANCE,205
1988,VERMONT,VT,DAVID DUKE,POPULIST,189
1988,VERMONT,VT,LEWIN HERBERG G.,PEACE & FREEDOM,164
1988,VERMONT,VT,WILLA KENOYER,LIBERTY UNION PARTY,142
1988,VERMONT,VT,JAMES MAC WARREN,SOCIALIST WORKERS,113
1988,VIRGINIA,VA,GEORGE H.W. BUSH,REPUBLICAN,1309162
1988,VIRGINIA,VA,MICHAEL DUKAKIS,DEMOCRAT,859799
1988,VIRGINIA,VA,LENORA FULANI,INDEPENDENT,14312
1988,VIRGINIA,VA,RONALD RON PAUL,LIBERTARIAN,8336
1988,WASHINGTON,WA,MICHAEL DUKAKIS,DEMOCRAT,933516
1988,WASHINGTON,WA,GEORGE H.W. BUSH,REPUBLICAN,903835
1988,WASHINGTON,WA,RONALD RON PAUL,LIBERTARIAN,17240
1988,WASHINGTON,WA,LYNDON LAROUCHE JR.,INDEPENDENT,4412
1988,WASHINGTON,WA,LENORA FULANI,NEW ALLIANCE,3520
1988,WASHINGTON,WA,LARRY HOLMES,WORKERS WORLD,1440
1988,WASHINGTON,WA,JAMES MAC WARREN,SOCIALIST WORKERS,1290
1988,WEST VIRGINIA,WV,MICHAEL DUKAKIS,DEMOCRAT,341016
1988,WEST VIRGINIA,WV,GEORGE H.W. BUSH,REPUBLICAN,310065
1988,WEST VIRGINIA,WV,LENORA FULANI,NEW ALLIANCE,2230
1988,WISCONSIN,WI,MICHAEL DUKAKIS,DEMOCRAT,1126794
1988,WISCONSIN,WI,GEORGE H.W. BUSH,REPUBLICAN,1047499
1988,WISCONSIN,WI,,INDEPENDENT,15042
1988,WISCONSIN,WI,SCATTERING,,2273
1988,WYOMING,WY,GEORGE H.W. BUSH,REPUBLICAN,106867
1988,WYOMING,WY,MICHAEL DUKAKIS,DEMOCRAT,67113
1988,WYOMING,WY,RONALD RON PAUL,LIBERTARIAN,2026
1988,WYOMING,WY,LENORA FULANI,NEW ALLIANCE,545
1992,ALABAMA,AL,GEORGE H.W. BUSH,REPUBLICAN,804283
1992,ALABAMA,AL,BILL CLINTON,DEMOCRAT,690080
1992,ALABAMA,AL,ROSS PEROT,INDEPENDENT,183109
1992,ALABAMA,AL,ANDRE MARROU,LIBERTARIAN,5737
1992,ALABAMA,AL,OTHER,INDEPENDENT,4128
1992,ALABAMA,AL,,,723
1992,ALASKA,AK,GEORGE H.W. BUSH,REPUBLICAN,102000
1992,ALASKA,AK,BILL CLINTON,DEMOCRAT,78294
1992,ALASKA,AK,ROSS PEROT,INDEPENDENT,73481
1992,ALASKA,AK,JAMES BO GRITZ,AMERICA FIRST,1379
1992,ALASKA,AK,ANDRE MARROU,LIBERTARIAN,1378
1992,ALASKA,AK,LYNDON LAROUCHE JR.,INDEPENDENTS FOR ECONOMIC RECOVERY,469
1992,ALASKA,AK,JOHN HAGELIN,NATURAL LAW,433
1992,ALASKA,AK,HOWARD PHILLIPS,TAXPAYERS PARTY,377
1992,ALASKA,AK,,,365
1992,ALASKA,AK,LENORA FULANI,NEW ALLIANCE,330
1992,ARIZONA,AZ,GEORGE H.W. BUSH,REPUBLICAN,572086
1992,ARIZONA,AZ,BILL CLINTON,DEMOCRAT,543050
1992,ARIZONA,AZ,ROSS PEROT,INDEPENDENT,353741
1992,ARIZONA,AZ,JAMES BO GRITZ,INDEPENDENT,8141
1992,ARIZONA,AZ,ANDRE MARROU,LIBERTARIAN,6759
1992,ARIZONA,AZ,JOHN HAGELIN,NATURAL LAW,2267
1992,ARIZONA,AZ,LENORA FULANI,NEW ALLIANCE,923
1992,ARIZONA,AZ,,,8
1992,ARKANSAS,AR,BILL CLINTON,DEMOCRAT,505823
1992,ARKANSAS,AR,GEORGE H.W. BUSH,REPUBLICAN,337324
1992,ARKANSAS,AR,ROSS PEROT,INDEPENDENT,99132
1992,ARKANSAS,AR,OTHER,INDEPENDENT,8374
1992,CALIFORNIA,CA,BILL CLINTON,DEMOCRAT,5121325
1992,CALIFORNIA,CA,GEORGE H.W. BUSH,REPUBLICAN,3630574
1992,CALIFORNIA,CA,ROSS PEROT,INDEPENDENT,2296006
1992,CALIFORNIA,CA,ANDRE MARROU,LIBERTARIAN,48139
1992,CALIFORNIA,CA,RON DANIELS,PEACE & FREEDOM,18597
1992,CALIFORNIA,CA,HOWARD PHILLIPS,AMERICAN INDEPENDENT PARTY,12711
1992,CALIFORNIA,CA,,,4369
1992,COLORADO,CO,BILL CLINTON,DEMOCRAT,629681
1992,COLORADO,CO,GEORGE H.W. BUSH,REPUBLICAN,562850
1992,COLORADO,CO,ROSS PEROT,INDEPENDENT,366010
1992,COLORADO,CO,ANDRE MARROU,LIBERTARIAN,8669
1992,COLORADO,CO,LENORA FULANI,NEW ALLIANCE,1608
1992,COLORADO,CO,JAMES BO GRITZ,DEMOCRAT/REPUBLICAN,274
1992,COLORADO,CO,JOHN HAGELIN,NATURAL LAW,47
1992,COLORADO,CO,PROHIBITION,PROHIBITION,21
1992,COLORADO,CO,UNAFFILIATED,UNAFFILIATED,20
1992,CONNECTICUT,CT,BILL CLINTON,DEMOCRAT,682318
1992,CONNECTICUT,CT,GEORGE H.W. BUSH,REPUBLICAN,578313
1992,CONNECTICUT,CT,ROSS PEROT,INDEPENDENT,348771
1992,CONNECTICUT,CT,ANDRE MARROU,LIBERTARIAN,5391
1992,CONNECTICUT,CT,LENORA FULANI,NEW ALLIANCE,1363
1992,DELAWARE,DE,BILL CLINTON,DEMOCRAT,126054
1992,DELAWARE,DE,GEORGE H.W. BUSH,REPUBLICAN,102313
1992,DELAWARE,DE,ROSS PEROT,INDEPENDENT,59213
1992,DELAWARE,DE,LENORA FULANI,NEW ALLIANCE,1105
1992,DELAWARE,DE,ANDRE MARROU,LIBERTARIAN,935
1992,DISTRICT OF COLUMBIA,DC,BILL CLINTON,DEMOCRAT,192619
1992,DISTRICT OF COLUMBIA,DC,GEORGE H.W. BUSH,REPUBLICAN,20698
1992,DISTRICT OF COLUMBIA,DC,ROSS PEROT,INDEPENDENT,9681
1992,DISTRICT OF COLUMBIA,DC,LENORA FULANI,NEW ALLIANCE,1459
1992,DISTRICT OF COLUMBIA,DC,RONALD DANIELS,INDEPENDENT,1446
1992,DISTRICT OF COLUMBIA,DC,,,676
1992,DISTRICT OF COLUMBIA,DC,ANDRE MARROU,LIBERTARIAN,467
1992,DISTRICT OF COLUMBIA,DC,JOHN HAGELIN,NATURAL LAW,230
1992,DISTRICT OF COLUMBIA,DC,OTHER,SOCIALIST,191
1992,DISTRICT OF COLUMBIA,DC,OTHER,SOCIALIST WORKERS,105
1992,FLORIDA,FL,GEORGE H.W. BUSH,REPUBLICAN,2173310
1992,FLORIDA,FL,BILL CLINTON,DEMOCRAT,2071698
1992,FLORIDA,FL,ROSS PEROT,INDEPENDENT,1053067
1992,FLORIDA,FL,ANDRE MARROU,LIBERTARIAN,15079
1992,FLORIDA,FL,,,238
1992,GEORGIA,GA,BILL CLINTON,DEMOCRAT,1008966
1992,GEORGIA,GA,GEORGE H.W. BUSH,REPUBLICAN,995252
1992,GEORGIA,GA,ROSS PEROT,INDEPENDENT,309657
1992,GEORGIA,GA,ANDRE MARROU,LIBERTARIAN,7110
1992,GEORGIA,GA,,,148
1992,HAWAII,HI,BILL CLINTON,DEMOCRAT,179310
1992,HAWAII,HI,GEORGE H.W. BUSH,REPUBLICAN,136822
1992,HAWAII,HI,ROSS PEROT,INDEPENDENT,53003
1992,HAWAII,HI,JAMES BO GRITZ,INDEPENDENT,1452
1992,HAWAII,HI,ANDRE MARROU,LIBERTARIAN,1119
1992,HAWAII,HI,LENORA FULANI,NEW ALLIANCE,720
1992,HAWAII,HI,JOHN HAGELIN,NATURAL LAW,416
1992,IDAHO,ID,GEORGE H.W. BUSH,REPUBLICAN,202645
1992,IDAHO,ID,BILL CLINTON,DEMOCRAT,137013
1992,IDAHO,ID,ROSS PEROT,INDEPENDENT,130395
1992,IDAHO,ID,JAMES BO GRITZ,INDEPENDENT,10894
1992,IDAHO,ID,ANDRE MARROU,LIBERTARIAN,1167
1992,ILLINOIS,IL,BILL CLINTON,DEMOCRAT,2453350
1992,ILLINOIS,IL,GEORGE H.W. BUSH,REPUBLICAN,1734096
1992,ILLINOIS,IL,ROSS PEROT,INDEPENDENT,840515
1992,ILLINOIS,IL,ANDRE MARROU,LIBERTARIAN,9218
1992,ILLINOIS,IL,LENORA FULANI,NEW ALLIANCE,5267
1992,ILLINOIS,IL,JAMES BO GRITZ,POPULIST,3577
1992,ILLINOIS,IL,JOHN HAGELIN,NATURAL LAW,2751
1992,ILLINOIS,IL,JAMES MAC WARREN,SOCIALIST WORKERS,1361
1992,ILLINOIS,IL,,,22
1992,INDIANA,IN,GEORGE H.W. BUSH,REPUBLICAN,989375
1992,INDIANA,IN,BILL CLINTON,DEMOCRAT,848420
1992,INDIANA,IN,ROSS PEROT,INDEPENDENT,455934
1992,INDIANA,IN,ANDRE MARROU,LIBERTARIAN,7936
1992,INDIANA,IN,LENORA FULANI,NEW ALLIANCE,2583
1992,INDIANA,IN,,,1623
1992,IOWA,IA,BILL CLINTON,DEMOCRAT,586353
1992,IOWA,IA,GEORGE H.W. BUSH,REPUBLICAN,504891
1992,IOWA,IA,ROSS PEROT,INDEPENDENT,253468
1992,IOWA,IA,JOHN HAGELIN,NATURAL LAW,3079
1992,IOWA,IA,OTHER,,1753
1992,IOWA,IA,JAMES BO GRITZ,AMERICA FIRST,1177
1992,IOWA,IA,ANDRE MARROU,LIBERTARIAN,1076
1992,IOWA,IA,BLANK VOTE/SCATTERING,,741
1992,IOWA,IA,JACK HERER,GRASSROOTS,669
1992,IOWA,IA,HOWARD PHILLIPS,TAXPAYERS PARTY,480
1992,IOWA,IA,JAMES MAC WARREN,SOCIALIST WORKERS,273
1992,IOWA,IA,LYNDON LAROUCHE JR.,INDEPENDENTS FOR ECONOMIC RECOVERY,238
1992,IOWA,IA,OTHER,CAMPAIGN FOR A NEW TOMORROW,212
1992,IOWA,IA,LENORA FULANI,NEW ALLIANCE,197
1992,KANSAS,KS,GEORGE H.W. BUSH,REPUBLICAN,449951
1992,KANSAS,KS,BILL CLINTON,DEMOCRAT,390434
1992,KANSAS,KS,ROSS PEROT,INDEPENDENT,312358
1992,KANSAS,KS,ANDRE MARROU,LIBERTARIAN,4314
1992,KANSAS,KS,,,179
1992,KENTUCKY,KY,BILL CLINTON,DEMOCRAT,665104
1992,KENTUCKY,KY,GEORGE H.W. BUSH,REPUBLICAN,617178
1992,KENTUCKY,KY,ROSS PEROT,INDEPENDENT,203944
1992,KENTUCKY,KY,ANDRE MARROU,LIBERTARIAN,4513
1992,KENTUCKY,KY,HOWARD PHILLIPS,TAXPAYERS PARTY,989
1992,KENTUCKY,KY,JOHN HAGELIN,NATURAL LAW,695
1992,KENTUCKY,KY,LENORA FULANI,NEW ALLIANCE,430
1992,KENTUCKY,KY,,,47
1992,LOUISIANA,LA,BILL CLINTON,DEMOCRAT,815971
1992,LOUISIANA,LA,GEORGE H.W. BUSH,REPUBLICAN,733386
1992,LOUISIANA,LA,ROSS PEROT,INDEPENDENT,211478
1992,LOUISIANA,LA,JAMES BO GRITZ,AMERICA FIRST,18545
1992,LOUISIANA,LA,ANDRE MARROU,LIBERTARIAN,3155
1992,LOUISIANA,LA,OTHER,EQUAL JUSTICE AND OPPORTUNITY,1663
1992,LOUISIANA,LA,HOWARD PHILLIPS,TAXPAYERS PARTY,1552
1992,LOUISIANA,LA,LENORA FULANI,MORE PERFECT DEMOCRACY,1434
1992,LOUISIANA,LA,LYNDON LAROUCHE JR.,"JUSTICE, INDUSTRY, AND AGRICULTURE",1136
1992,LOUISIANA,LA,JOHN HAGELIN,NATURAL LAW,889
1992,LOUISIANA,LA,JOHN YIAMOUYIANNIS,INDEPENDENT,808
1992,MAINE,ME,BILL CLINTON,DEMOCRAT,263420
1992,MAINE,ME,ROSS PEROT,INDEPENDENT,206820
1992,MAINE,ME,GEORGE H.W. BUSH,REPUBLICAN,206504
1992,MAINE,ME,ANDRE MARROU,LIBERTARIAN,1681
1992,MAINE,ME,LENORA FULANI,NEW ALLIANCE,519
1992,MAINE,ME,HOWARD PHILLIPS,TAXPAYERS PARTY,464
1992,MAINE,ME,OTHER,,91
1992,MARYLAND,MD,BILL CLINTON,DEMOCRAT,988571
1992,MARYLAND,MD,GEORGE H.W. BUSH,REPUBLICAN,707094
1992,MARYLAND,MD,ROSS PEROT,INDEPENDENT,281414
1992,MARYLAND,MD,ANDRE MARROU,LIBERTARIAN,4715
1992,MARYLAND,MD,LENORA FULANI,NEW ALLIANCE,2786
1992,MASSACHUSETTS,MA,BILL CLINTON,DEMOCRAT,1318639
1992,MASSACHUSETTS,MA,GEORGE H.W. BUSH,REPUBLICAN,805039
1992,MASSACHUSETTS,MA,ROSS PEROT,INDEPENDENT,630731
1992,MASSACHUSETTS,MA,ANDRE MARROU,LIBERTARIAN,9021
1992,MASSACHUSETTS,MA,LENORA FULANI,NEW ALLIANCE,3172
1992,MASSACHUSETTS,MA,OTHER,INDEPENDENT VOTERS,2218
1992,MASSACHUSETTS,MA,OTHER,,1990
1992,MASSACHUSETTS,MA,JOHN HAGELIN,NATURAL LAW,1812
1992,MASSACHUSETTS,MA,LYNDON LAROUCHE JR.,LAROUCHE FOR PRESIDENT PARTY,1027
1992,MASSACHUSETTS,MA,J. QUINN BRISBEN,SOCIALIST PARTY USA,13
1992,MASSACHUSETTS,MA,EARL DODGE,PROHIBITION,2
1992,MICHIGAN,MI,BILL CLINTON,DEMOCRAT,1871182
1992,MICHIGAN,MI,GEORGE H.W. BUSH,REPUBLICAN,1554940
1992,MICHIGAN,MI,ROSS PEROT,INDEPENDENT,824813
1992,MICHIGAN,MI,ANDRE MARROU,LIBERTARIAN,10175
1992,MICHIGAN,MI,HOWARD PHILLIPS,TISCH INDEPENDENT CITIZENS,8263
1992,MICHIGAN,MI,JOHN HAGELIN,NATURAL LAW,2954
1992,MICHIGAN,MI,HELEN HALYARD,WORKERS WORLD,1432
1992,MICHIGAN,MI,,,914
1992,MINNESOTA,MN,BILL CLINTON,DEMOCRAT,1020997
1992,MINNESOTA,MN,GEORGE H.W. BUSH,REPUBLICAN,747841
1992,MINNESOTA,MN,ROSS PEROT,INDEPENDENT,562506
1992,MINNESOTA,MN,ANDRE MARROU,LIBERTARIAN,3374
1992,MINNESOTA,MN,JAMES BO GRITZ,CONSTITUTION PARTY,3363
1992,MINNESOTA,MN,JACK HERER,GRASSROOTS,2659
1992,MINNESOTA,MN,,,2499
1992,MINNESOTA,MN,JOHN HAGELIN,NATURAL LAW,1406
1992,MINNESOTA,MN,JAMES MAC WARREN,SOCIALIST WORKERS,990
1992,MINNESOTA,MN,LENORA FULANI,NEW ALLIANCE,958
1992,MINNESOTA,MN,HOWARD PHILLIPS,TAXPAYERS PARTY,733
1992,MINNESOTA,MN,LYNDON LAROUCHE JR.,INDEPENDENTS FOR ECONOMIC RECOVERY,622
1992,MISSISSIPPI,MS,GEORGE H.W. BUSH,REPUBLICAN,487793
1992,MISSISSIPPI,MS,BILL CLINTON,DEMOCRAT,400258
1992,MISSISSIPPI,MS,ROSS PEROT,INDEPENDENT,85626
1992,MISSISSIPPI,MS,OTHER,INDEPENDENT,4310
1992,MISSISSIPPI,MS,ANDRE MARROU,LIBERTARIAN,2154
1992,MISSISSIPPI,MS,HOWARD PHILLIPS,TAXPAYERS PARTY,1652
1992,MISSOURI,MO,BILL CLINTON,DEMOCRAT,1053873
1992,MISSOURI,MO,GEORGE H.W. BUSH,REPUBLICAN,811159
1992,MISSOURI,MO,ROSS PEROT,INDEPENDENT,518741
1992,MISSOURI,MO,ANDRE MARROU,LIBERTARIAN,7497
1992,MONTANA,MT,BILL CLINTON,DEMOCRAT,154507
1992,MONTANA,MT,GEORGE H.W. BUSH,REPUBLICAN,144207
1992,MONTANA,MT,ROSS PEROT,INDEPENDENT,107225
1992,MONTANA,MT,OTHER,INDEPENDENT,3658
1992,MONTANA,MT,ANDRE MARROU,LIBERTARIAN,986
1992,NEBRASKA,NE,GEORGE H.W. BUSH,REPUBLICAN,343678
1992,NEBRASKA,NE,BILL CLINTON,DEMOCRAT,216864
1992,NEBRASKA,NE,ROSS PEROT,INDEPENDENT,174104
1992,NEBRASKA,NE,OTHER,INDEPENDENT,1560
1992,NEBRASKA,NE,ANDRE MARROU,LIBERTARIAN,1340
1992,NEVADA,NV,BILL CLINTON,DEMOCRAT,189148
1992,NEVADA,NV,GEORGE H.W. BUSH,REPUBLICAN,175828
1992,NEVADA,NV,ROSS PEROT,INDEPENDENT,132580
1992,NEVADA,NV,JAMES BO GRITZ,POPULIST,2892
1992,NEVADA,NV,OTHER,,2537
1992,NEVADA,NV,ANDRE MARROU,LIBERTARIAN,1835
1992,NEVADA,NV,HOWARD PHILLIPS,INDEPENDENT AMERICAN,677
1992,NEVADA,NV,LENORA FULANI,INDEPENDENT,483
1992,NEVADA,NV,JOHN HAGELIN,NATURAL LAW,338
1992,NEW HAMPSHIRE,NH,BILL CLINTON,DEMOCRAT,209040
1992,NEW HAMPSHIRE,NH,GEORGE H.W. BUSH,REPUBLICAN,202484
